"clean_text","is_reclamation","category","urgency"
"· follow zakher bouragaoui","non_reclamation",NULL,"NULL"
"3idkom mabrouk","non_reclamation",NULL,"NULL"
"agence mourouj merci je suis très satisfaite","non_reclamation",NULL,"NULL"
"aidkom mabrouk w snin deyma","non_reclamation",NULL,"NULL"
"alf mabrouk davantage de succès","non_reclamation",NULL,"NULL"
"assurance dun véhicule à deux roues moto selon les termes de la fédération tunisienne des sociétés dassurances ftusa coûts 199 tnd moins de 50 cm3 jái paye presque 80 dinars en plus","reclamation","SINISTRE AUTO","moyenne"
"azmi jemai thanks azmi jemai","non_reclamation",NULL,"NULL"
"barvooo bon teravail moumtez","non_reclamation",NULL,"NULL"
"bathtlkom msg khouyia mjwbtounich","non_reclamation",NULL,"NULL"
"belle initiative bravo","non_reclamation",NULL,"NULL"
"billah jai le dossier de remboursement frais d1 accident bloqué chez vs lattestation de la police envoyé 4 fois chez vs la ftusa attend cette document qui nétais pas transmis jai envoyé une lettre pour le pdg sans suite","reclamation","SINISTRE AUTO","elevee"
"bon travail et surtout le bon choix de lespece planter edited","non_reclamation",NULL,"NULL"
"bonjour chère amie ça vas bien une grande salut de tunisie","non_reclamation",NULL,"NULL"
"bonjour comment faire pour assurer ma moto chez vous merci","reclamation","SINISTRE AUTO","faible"
"je souhaite avoir des informations sur mon dossier assurance vie",reclamation,SINISTRE VIE,faible
"pouvez-vous me donner une mise à jour de mon contrat vie",reclamation,SINISTRE VIE,faible
"el dossier IRDS mta3i wa9ef",reclamation,SINISTRE IRDS,moyenne
"aucune réponse concernant mon dossier IRDS",reclamation,SINISTRE IRDS,elevee
"bonjour jai passé une réclamation en privé pouvezvous vérifier svp merci",reclamation,"SERVICE CLIENT","faible"
"bonne continuation","non_reclamation",NULL,"NULL"
"bonne continuation giphy click to view attachment","non_reclamation",NULL,"NULL"
"bonne initiative","non_reclamation",NULL,"NULL"
"bonne initiative pour la mae bravo si mourad","non_reclamation",NULL,"NULL"
"bonsoir je suis enseignante à linstitut arts et métiers de kairouan cest possible que cette belle iniitiative pourra se planifier que doisje faire et contacter qui","reclamation","SERVICE CLIENT","faible"
"brabbi vérifiez le réseau une file dattente à lagence sakiet dayer ce vendredi beaucoup de temps perdu","reclamation","SERVICE CLIENT","elevee"
"bravo la mae assurances que du succès et prospérité inchallah","non_reclamation",NULL,"NULL"
"bravo la mae assurances toujours pionniers","non_reclamation",NULL,"NULL"
"ما وصلنيش تعويض التأمين على الحياة",reclamation,SINISTRE VIE,elevee
"ملف assurance vie متاعي معطل برشا",reclamation,SINISTRE VIE,moyenne
علاش ما فما حتى رد على dossier vie متاعي,reclamation,SINISTRE VIE,moyenne
التأمين على الحياة رفض الملف متاعي بلا سبب,reclamation,SINISTRE VIE,elevee
"bravo non courage et bonne continuation","non_reclamation",NULL,"NULL"
"bravo que du réussite","non_reclamation",NULL,"NULL"
"je n’ai pas reçu mon remboursement IRDS",reclamation,SINISTRE IRDS,elevee
"my IRDS claim has not been processed",reclamation,SINISTRE IRDS,elevee
"bravo si mourad et bravo pour la mae qui explore les zones où règnent les artistes à promouvoir","non_reclamation",NULL,"NULL"
"bravo sincères félicitations et bonne continuation","non_reclamation",NULL,"NULL"
"bravo très bonne nouvelle","non_reclamation",NULL,"NULL"
"bravooooo bonne continuation","non_reclamation",NULL,"NULL"
اريد متابعة ملف التأمين على الحياة,reclamation,SINISTRE VIE,faible
طلب معلومات بخصوص عقد التأمين على الحياة,reclamation,SINISTRE VIE,faible
"bsr jaimerais bien savoir les délais de remboursement dun dossier sinistre accident de voiture sachant que le dossier déposé chez vous bureau hammamet depuis le 07092023 à ce jour jai rien reçu ni un message une communication téléphonique de leurs parts","reclamation","SINISTRE AUTO","elevee"
"ça fait plaisir de voir la nouvelle grandeur qu a pris nôtre mae assurances bravo a toute la famille de la mae inchallah on assistera a l inoguration prochaine mae assurances","non_reclamation",NULL,"NULL"
"cest le choix le plus mauvais quon pourrait faire avec une assurance à tous risques 3000 dinars annuels un refus de la prise en charge sous prétexte quil y a un excès","reclamation","SINISTRE VIE","elevee"
"cette reconnaissance témoigne de votre engagement et de votre excellence au quotidien félicitations pour cette étape marquante","non_reclamation",NULL,"NULL"
"comment sinscrireplease","reclamation",SERVICE CLIENT,"faible"
"contratn10100185999 après plusieurs réclamations et la dernière cétait le 151223 lettre envoyée à mr le pdg de la mae mon dossier en instance et nest pas négocié en attendant paprace de la police et ce document a été adressé à vôtre service 4 fois prière dessayer de débloquer la situation","reclamation","SINISTRE AUTO","elevee"
"désolé mais ceci na rien changé je ne recois pas toujours des code dactivation",reclamation,"SERVICE CLIENT","moyenne"
"dommage que votre application ne fonctionne pas sur los android 9","reclamation","SERVICE CLIENT","faible"
"durant trente quatre ans de ma carriere en education je lavais servi en toute serinite","non_reclamation",NULL,"NULL"
"en espérant qu elle se mette à jour rapidement j ai souscris à des nouveaux contrats qui ne figure pas encore sur mon compte de l application","reclamation",SERVICE CLIENT,"moyenne"
"excellente initiative","non_reclamation",NULL,"NULL"
"excellente initiative","non_reclamation",NULL,"NULL"
"excellente initiative bon vent","non_reclamation",NULL,"NULL"
"no update on my accident case",reclamation,SINISTRE AUTO,moyenne
رفضوا تعويضي بعد الحادث,reclamation,SINISTRE AUTO,elevee
"mon dossier sinistre auto est bloqué",reclamation,SINISTRE AUTO,elevee
"je souhaite vérifier l’état de mon dossier IRDS",reclamation,SINISTRE IRDS,faible
"demande de suivi simple concernant mon sinistre IRDS",reclamation,SINISTRE IRDS,faible
"je voudrais savoir si mon dossier auto est en cours",reclamation,SINISTRE AUTO,faible
"fi nish وداعا رغم نياباتي المتكررة عن مدارس أريانة edited","non_reclamation",NULL,"NULL"
"nheb naaref chnowa saret fi dossier IRDS",reclamation,SINISTRE IRDS,faible
"fi ras hamdi","non_reclamation",NULL,"NULL"
"formulaire fermé","non_reclamation",NULL,"NULL"
"giphy click to view attachment","non_reclamation",NULL,"NULL"
صارلي حادث ومازال ملفي ما تتحلش,reclamation,SINISTRE AUTO,elevee
السيارة متاعي تضررت وما خذيت حتى تعويض,reclamation,SINISTRE AUTO,elevee
dossier accident auto متاعي واقف وما فما حتى رد,reclamation,SINISTRE AUTO,moyenne
علاش التأمين ما خلصش تصليح الكرهبة,reclamation,SINISTRE AUTO,elevee
"grand bravooo mes chers","non_reclamation",NULL,"NULL"
"grand patron mourad beaucoup de respect et d amour bravooooo mae tenor click to view attachment","non_reclamation",NULL,"NULL"
"horaires du travail svp","reclamation",SERVICE CLIENT,"faible"
"il est temps que les organismes financiers multipliés de tels projets","non_reclamation",NULL,"NULL"
"il faut reboiser c est la seule solution pour sauver l environnement bravo et bonne continuation","non_reclamation",NULL,"NULL"
"il mérite bien","non_reclamation",NULL,"NULL"
"inchallah romdhankom mabrouk bi essiha w el afia","non_reclamation",NULL,"NULL"
مشكل في تعويض أضرار الحريق,reclamation,SINISTRE IRDS,elevee
مشكل في صرف تعويض الوفاة,reclamation,SINISTRE VIE,elevee
تأخير في معالجة ملف التقاعد,reclamation,SINISTRE VIE,moyenne
"can you confirm my accident file is processed",reclamation,SINISTRE AUTO,faible
"nheb naaref win wasel dossier accident auto",reclamation,SINISTRE AUTO,faible
لم يتم تعويضي عن الأضرار في المعدات,reclamation,SINISTRE IRDS,elevee
"3andi sou2el 3al indemnisation IRDS",reclamation,SINISTRE IRDS,faible
